i,j
800,56
24,724
480,392
690,276
748,36
686,624
196,818
104,124
496,826
466,826
740,528
90,156
762,100
598,528
52,780
196,422
686,566
24,858
328,780
328,56
68,616
104,410
422,360
178,724
600,760
748,554
466,686
558,320
807,100
454,392
887,710
894,454
266,724
450,702
8,276
584,764
686,300
388,392
196,56
740,352
268,276
600,218
196,400
418,276
748,404
222,214
222,643
454,404
388,752
51,364
887,360
795,643
480,344
192,484
548,764
462,144
524,156
180,156
807,705
478,384
834,894
516,124
686,56
196,842
72,842
266,504
72,620
558,124
454,818
807,70
214,388
70,300
800,842
854,50
446,208
417,156
480,710
324,120
51,528
834,842
68,484
324,566
324,124
450,826
762,703
388,724
480,620
231,826
418,826
60,826
222,724
800,344
584,276
266,276
60,724
800,646
454,620
68,392
768,562
304,156
800,276
72,376
807,12
446,392
148,842
52,388
600,604
800,724
558,826
192,392
268,842
222,124
72,124
90,410
231,792
192,76
44,300
598,724
418,56
266,528
192,620
68,528
646,404
430,724
324,642
70,348
662,826
72,392
854,764
462,764
70,724
694,276
268,528
328,52
204,360
600,156
214,192
116,40
388,780
762,616
533,826
498,40
466,384
24,528
204,764
834,724
690,724
388,643
204,566
740,328
480,566
417,762
450,392
328,528
583,842
296,392
834,344
600,504
516,56
834,108
516,528
478,120
68,410
72,276
748,620
388,642
231,56
583,392
762,156
417,392
116,764
887,724
180,826
584,50
450,710
90,392
268,31
748,480
834,410
16,360
795,724
462,826
690,392
524,826
242,16
51,784
116,458
558,643
304,764
231,887
44,276
662,842
558,724
180,894
466,156
417,860
316,583
231,376
242,776
148,276
748,528
762,233
533,188
450,724
768,156
204,768
454,508
304,276
478,12
762,203
8,36
740,156
762,364
498,620
388,214
148,620
800,178
446,752
646,800
498,300
426,124
178,120
670,724
800,702
478,620
180,392
508,344
854,170
584,152
748,764
670,300
462,392
308,842
740,392
585,392
466,276
854,562
478,156
222,392
533,862
417,682
84,388
332,124
204,562
178,170
674,724
533,528
854,466
466,50
516,643
417,124
694,826
454,643
304,458
562,842
508,392
624,566
450,56
316,410
51,268
222,398
533,32
140,724
70,528
450,124
178,528
768,842
204,50
70,842
180,276
20,276
52,662
90,608
70,703
450,528
768,554
768,36
478,566
454,56
466,324
8,56
496,124
178,392
28,826
740,52
180,620
242,882
52,203
418,528
132,620
690,462
498,792
70,807
60,528
446,702
762,56
430,826
562,288
454,894
662,780
690,842
533,340
417,842
304,392
212,826
466,144
548,360
418,156
275,400
558,276
308,566
70,442
450,764
84,392
533,56
498,56
498,348
795,268
450,344
52,670
242,344
659,826
498,398
740,388
426,56
762,12
854,204
562,724
417,792
270,598
212,388
96,566
690,364
533,320
28,842
674,842
478,300
204,686
417,428
533,484
776,842
496,392
670,842
854,392
226,120
466,56
140,360
417,56
674,826
328,740
84,528
524,392
304,352
496,410
430,208
882,16
108,276
776,392
60,320
584,300
204,208
51,804
52,308
548,392
646,276
533,724
4,50
496,484
90,764
8,724
478,288
304,842
8,40
262,512
524,124
854,384
4,56
108,56
533,218
418,392
60,616
690,480
90,702
52,328
496,276
558,214
