i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
276,842,870322.0,41.199,0.0,193337.872,130.749,807054.764,3141.625,167924.688,25633.92,1476.0,338.125,41.199
276,842,870323.0,193337.872,0.0,193337.872,130.749,807054.764,3141.625,167924.688,25633.92,1476.0,338.125,41.199
276,842,870324.0,167924.688,0.0,193337.872,130.749,807054.764,3141.625,167924.688,25633.92,1476.0,338.125,41.199
276,842,870899.0,25633.92,0.0,193337.872,130.749,807054.764,3141.625,167924.688,25633.92,1476.0,338.125,41.199
276,826,270900.0,239895.872,239895.872,222737.506,374.097,872985.099,2859.437,18125.534,77759.652,4636.408,1010.503,21414.049
276,826,271000.0,872985.099,239895.872,222737.506,374.097,872985.099,2859.437,18125.534,77759.652,4636.408,1010.503,21414.049
276,826,847192.0,4636.408,239895.872,222737.506,374.097,872985.099,2859.437,18125.534,77759.652,4636.408,1010.503,21414.049
276,826,847193.0,1010.503,239895.872,222737.506,374.097,872985.099,2859.437,18125.534,77759.652,4636.408,1010.503,21414.049
276,826,847330.0,2859.437,239895.872,222737.506,374.097,872985.099,2859.437,18125.534,77759.652,4636.408,1010.503,21414.049
276,826,854211.0,374.097,239895.872,222737.506,374.097,872985.099,2859.437,18125.534,77759.652,4636.408,1010.503,21414.049
276,826,870322.0,21414.049,239895.872,222737.506,374.097,872985.099,2859.437,18125.534,77759.652,4636.408,1010.503,21414.049
276,826,870323.0,222737.506,239895.872,222737.506,374.097,872985.099,2859.437,18125.534,77759.652,4636.408,1010.503,21414.049
276,826,870324.0,18125.534,239895.872,222737.506,374.097,872985.099,2859.437,18125.534,77759.652,4636.408,1010.503,21414.049
276,826,870899.0,77759.652,239895.872,222737.506,374.097,872985.099,2859.437,18125.534,77759.652,4636.408,1010.503,21414.049
156,842,270900.0,2673033.064,2673033.064,13.059,178.625,23131.814,0.0,5.651,13219.648,174610.155,8961.924,1.139
