i,j
116,764
748,566
104,50
600,784
762,276
498,792
716,454
686,624
450,826
686,324
454,410
418,276
508,620
70,642
670,300
854,56
800,108
340,410
328,52
834,646
716,410
686,56
340,826
748,404
498,398
548,208
222,344
795,156
104,586
104,724
716,643
44,320
196,372
51,100
51,804
417,792
478,120
72,376
748,36
418,826
332,214
524,276
800,826
600,68
196,643
462,764
674,642
116,40
740,528
70,703
340,188
795,826
558,724
304,124
686,384
388,703
598,56
748,410
516,180
60,208
748,554
800,178
328,528
275,400
562,566
499,705
496,410
328,388
454,56
328,620
44,276
762,300
454,643
324,528
8,792
498,40
533,218
328,780
84,591
180,616
222,643
388,268
748,516
8,156
44,528
268,398
192,862
324,466
600,764
51,364
480,528
795,31
231,826
598,528
686,120
690,480
268,724
231,792
466,384
466,156
418,458
446,392
132,384
44,178
854,764
450,480
646,826
388,862
8,528
454,528
450,724
762,410
498,826
768,562
854,466
795,40
28,276
192,196
231,56
854,702
316,36
84,188
646,404
466,56
508,616
44,32
304,156
548,392
52,826
740,328
800,156
324,124
466,586
800,724
694,276
694,616
231,887
533,591
478,818
686,784
328,56
231,528
430,56
304,276
8,807
52,76
108,276
478,528
454,792
854,288
690,392
854,826
498,100
795,688
52,662
450,156
388,392
192,124
328,804
558,56
446,528
854,586
748,634
417,762
585,392
192,620
508,528
686,300
180,528
466,826
446,458
740,616
51,376
768,56
466,764
795,300
51,724
454,620
646,344
136,600
450,528
446,124
430,360
242,882
558,276
192,528
768,528
192,214
242,296
262,404
748,508
316,392
192,208
686,854
478,246
499,70
480,690
140,360
740,52
64,764
72,764
584,764
584,484
496,826
44,484
180,620
762,398
136,724
762,12
646,56
242,776
180,404
90,410
242,16
108,784
450,702
762,826
454,818
132,620
90,764
480,620
674,724
84,528
222,56
854,768
796,120
20,276
762,705
332,124
454,616
466,704
222,124
740,76
84,764
316,583
446,724
450,56
454,894
480,404
204,562
740,352
626,392
450,784
446,704
446,484
242,548
72,894
524,826
328,740
740,780
768,24
308,218
558,826
558,528
180,178
90,392
690,724
762,528
478,204
140,376
72,246
740,643
646,276
430,826
854,204
762,100
562,288
132,528
466,360
430,124
417,428
496,392
462,826
222,702
762,191
262,784
8,752
562,724
204,56
60,76
84,566
462,144
478,566
64,702
180,276
690,834
854,384
84,384
740,388
454,508
768,156
148,620
662,826
558,392
450,392
132,724
90,608
72,392
854,392
854,360
674,276
108,180
768,784
16,360
140,156
450,124
417,784
52,670
466,50
674,300
524,156
204,120
584,724
242,344
52,682
140,504
662,780
674,826
332,56
496,276
524,124
204,384
136,300
316,585
4,50
8,499
204,620
418,56
4,792
108,404
148,764
558,591
332,484
204,854
132,76
646,156
148,276
418,616
499,276
466,324
64,50
204,208
174,792
670,662
4,246
418,392
417,364
694,528
84,780
328,156
28,620
499,191
768,266
646,180
796,266
418,528
204,50
304,352
52,28
84,124
8,100
548,682
52,328
140,724
694,124
332,764
52,308
674,616
430,643
882,554
670,826
304,616
690,528
496,56
584,360
646,586
426,404
140,276
583,764
204,360
84,484
52,124
430,804
499,8
90,458
52,320
690,276
524,620
212,40
690,40
204,178
332,826
212,388
28,52
304,643
524,392
16,36
430,384
417,276
84,620
28,826
496,528
670,780
270,156
204,288
417,100
584,392
496,804
426,450
108,646
646,108
212,826
16,410
426,124
674,40
562,36
499,826
462,392
4,643
108,56
670,276
84,392
16,620
148,50
262,818
562,643
20,340
